linesAdded,linesDeleted,linesChanged,functionsAdded,functionsDeleted,functionsModified,classesAdded,classesDeleted,classesModified,importsAdded,importsDeleted,degreeCentrality,betweennessCentrality,pageRank,inDegree,outDegree,coupling,impactScore,impactLabel
56,25,33,3,2,7,2,1,4,2,4,0.5413747794528427,0.7124394700906256,0.28560652916652773,14,9,23,,High
2,2,0,0,0,1,0,0,0,0,0,0.10435047287623862,0.007796398389277476,0.06301894427531912,1,0,1,,Low
34,47,28,3,1,9,3,2,5,2,1,0.9270816489343847,0.6012554775359777,0.53285209016562,8,5,22,,High
18,5,16,1,0,4,1,0,1,1,1,0.5237052497136434,0.31726129429046845,0.1493630515107599,6,4,7,,Medium
3,0,2,0,0,1,0,0,0,0,0,0.13459707213782818,0.029818215807347354,0.03266632746624958,0,1,3,,Low
5,1,3,0,0,0,0,0,0,0,0,0.023474646198452867,0.03719083979047421,0.0672779991280813,0,2,3,,Low
60,22,43,6,3,10,1,1,4,6,4,0.6297447586545075,0.7309874977239881,0.3095090955908531,17,8,21,,High
50,49,28,4,3,8,2,2,5,4,4,0.837624994409972,0.7913931980701048,0.37745041287607517,16,11,24,,High
5,0,1,0,0,1,0,0,0,0,0,0.027535616320469754,0.031129307111835848,0.02625553331846231,1,2,3,,Low
2,2,0,0,0,0,0,0,0,0,0,0.030915994841601492,0.018884647117265615,0.0298545979352996,1,2,1,,Low
1,2,0,0,0,1,0,0,0,0,0,0.027618561558931026,0.046223389603160574,0.02826541826231152,2,1,0,,Low
1,0,1,0,0,0,0,0,0,0,0,0.10607363094142522,0.01652200930479494,0.06695744242306167,1,0,1,,Low
21,15,11,3,1,4,2,0,1,4,2,0.36152775045102015,0.3825195053450928,0.0843521367567934,6,4,6,,Medium
67,39,49,5,2,10,2,2,5,2,4,0.6359711933713382,0.7946934664064718,0.5102884924172957,13,7,15,,High
58,37,24,6,3,6,3,1,4,3,2,0.8020216928731315,0.5788772029001628,0.30641602677869695,19,10,20,,High
4,0,0,0,0,1,0,0,0,0,0,0.1385516196899695,0.0358716769865695,0.041135630672371956,1,0,0,,Low
50,37,48,3,3,10,3,1,5,2,1,0.5056824821279832,0.6664281387500377,0.20801575044330037,18,10,19,,High
2,0,0,0,0,1,0,0,0,0,0,0.07817214485566443,0.02084154047465533,0.012783694127173903,0,0,3,,Low
15,11,8,2,0,5,0,0,3,1,1,0.48092139897716457,0.34098174106392454,0.15803405017119085,7,5,5,,Medium
22,8,10,1,0,4,0,0,1,1,2,0.3763886654783253,0.17325023655610716,0.20984586618023893,3,6,10,,Medium
3,1,0,0,0,0,0,0,0,0,0,0.12098236983536348,0.039717100572692884,0.07182504139551743,1,1,0,,Low
45,26,52,3,2,8,1,1,4,5,4,0.6096240367168423,0.6963115698330664,0.4357004301673443,9,9,13,,High
12,6,10,2,1,5,1,0,3,3,2,0.3213404439683637,0.2902277320308533,0.1046308849855552,7,5,9,,Medium
18,10,14,3,0,5,0,1,1,4,0,0.4353294581614229,0.25347777451971726,0.1635998341604396,3,5,12,,Medium
36,30,55,6,2,5,1,1,5,4,2,0.8114531834300744,0.8768359992656052,0.40875933165504746,12,5,24,,High
68,46,54,5,1,10,2,2,4,5,2,0.6933653594633564,0.4276070986631507,0.3889533958129714,11,5,17,,High
16,5,16,1,1,5,0,1,3,1,2,0.5436864298045082,0.1481395118353123,0.22151847992908963,5,4,8,,Medium
44,46,30,3,2,7,2,1,4,2,4,0.8666133579884995,0.44436410219406597,0.21398942521814548,13,7,21,,High
3,1,0,0,0,0,0,0,0,0,0,0.0749190168603991,0.008502341657655366,0.021431245538243222,1,0,0,,Low
57,20,21,6,2,7,3,2,3,5,2,0.616769479234702,0.48477506205161913,0.533762690895643,13,6,20,,High
59,49,56,4,1,5,2,1,5,6,2,0.910579062328418,0.7600862522760079,0.5927795723679807,18,12,16,,High
2,1,0,0,0,0,0,0,0,0,0,0.030016620168830506,0.009894435218590498,0.05500632857209126,2,0,1,,Low
43,24,28,4,1,6,1,1,3,5,3,0.8556278494322114,0.3533357267069912,0.32998123620327,9,6,15,,High
62,31,29,5,2,7,3,2,5,3,4,0.7547046146258167,0.7192951159766972,0.5833064720523673,9,9,24,,High
24,9,14,1,1,5,0,1,3,4,2,0.3705065817278328,0.39917471062657506,0.2353520966216765,4,2,6,,Medium
55,45,59,3,1,5,3,2,5,4,2,0.5609041350605388,0.47707086252469577,0.21053945052418885,10,7,22,,High
30,36,46,5,2,10,3,2,4,3,3,0.7127537535069234,0.8948196443246768,0.5121221263003493,11,11,25,,High
49,43,58,6,3,9,2,2,4,3,3,0.8197772723382406,0.6279675792933384,0.3996048853099564,14,12,23,,High
3,2,1,0,0,0,0,0,0,0,0,0.04604221779166062,0.04973100628969599,0.0497187253366135,1,0,1,,Low
44,24,22,5,1,7,3,1,4,4,3,0.7523223239508716,0.5721766460542983,0.23619576487734117,20,5,12,,High
51,31,35,4,2,10,1,2,4,4,3,0.615546110959247,0.7614314489259538,0.4605849603925193,20,12,17,,High
20,12,16,3,0,3,0,0,2,1,2,0.5145624633576822,0.2110672528819105,0.1856689310176352,6,4,9,,Medium
23,12,14,3,1,2,0,1,2,2,1,0.5990865715571032,0.2641321658399881,0.23879998045537998,6,4,11,,Medium
15,15,19,2,0,4,0,0,2,4,0,0.5229246092579098,0.39316881154199246,0.10127517325137797,6,2,11,,Medium
24,6,10,1,0,3,0,1,3,2,1,0.34375673863264605,0.2915315995668163,0.13180275153672838,7,2,7,,Medium
1,2,3,0,0,0,0,0,0,0,0,0.12751429513725904,0.0005743036627899378,0.04290421463125271,1,0,3,,Low
31,45,23,4,1,6,1,2,4,4,2,0.5880651050891669,0.542355852002578,0.3079488799662359,8,9,15,,High
69,38,27,3,2,7,1,1,3,5,1,0.7763923050664888,0.4357384653778952,0.3135665180487707,14,11,16,,High
19,10,13,1,0,5,0,0,1,4,0,0.3783916345025108,0.31210974977516415,0.08103449859999179,8,6,14,,Medium
50,45,33,6,1,8,1,2,4,6,4,0.7752099684052991,0.3142765780640963,0.3251339199880701,18,8,24,,High
20,6,13,1,0,5,2,1,1,2,0,0.2573810515767639,0.10092616162079845,0.17439585053177153,3,6,10,,Medium
15,12,16,2,0,5,0,0,1,4,1,0.48565467607027535,0.39247671908297255,0.20302207403813094,6,2,7,,Medium
16,11,15,3,0,3,0,0,2,2,0,0.471060074360635,0.35562248587983036,0.14945181015094933,8,6,8,,Medium
3,2,3,0,0,0,0,0,0,0,0,0.13285188737775644,0.008832923542377857,0.05721734554976236,1,0,2,,Low
48,27,44,6,3,9,2,2,3,2,1,0.8715896899579768,0.5443444075094777,0.2492379961870113,17,8,13,,High
67,26,58,3,2,10,1,1,4,5,3,0.8222516818278631,0.7913987251652584,0.2559907058396331,9,8,16,,High
4,0,2,0,0,0,0,0,0,0,0,0.09260338680242809,0.02476007260728146,0.025941039642523922,2,0,3,,Low
10,13,13,3,1,4,2,0,1,3,2,0.4677849923131798,0.18488120422580287,0.17264343890653627,6,2,13,,Medium
19,15,18,2,1,2,1,0,1,3,1,0.2820256985259682,0.16900493228288,0.12269844869218255,5,3,14,,Medium
18,10,18,1,0,4,2,1,2,3,1,0.45842059832235194,0.26270202868097403,0.12581233366553823,4,5,12,,Medium
3,2,2,0,0,0,0,0,0,0,0,0.1069583289268993,0.03530489659652394,0.05834203582123893,1,2,1,,Low
16,9,8,3,1,4,2,0,3,2,2,0.46056056883425756,0.12010492131678518,0.1854184647354023,3,6,7,,Medium
4,2,0,0,0,1,0,0,0,0,0,0.07682603217755983,0.03385301149248993,0.0386229668439756,2,1,1,,Low
62,27,51,5,3,9,2,1,4,6,2,0.5934114656721713,0.604838995049765,0.3157049925387506,12,9,19,,High
1,1,2,0,0,0,0,0,0,0,0,0.08884533314850787,0.024137015605634107,0.022221470999436957,0,0,3,,Low
42,31,30,4,1,8,2,1,4,2,1,0.5068059461893514,0.5084479296138341,0.5022024458450176,17,5,21,,High
51,43,48,6,1,7,1,1,5,2,4,0.6612767031596489,0.6562989152386417,0.2531942006537354,20,5,17,,High
1,1,2,0,0,1,0,0,0,0,0,0.09047465939740908,2.4168459705176117e-05,0.016906879408685356,2,0,0,,Low
41,28,29,6,2,6,3,1,3,2,4,0.9497726470082486,0.886110398626585,0.49600852094936165,19,12,25,,High
55,32,50,3,2,5,2,1,5,5,1,0.8396390504168358,0.567191938229726,0.4462258692670893,9,11,21,,High
17,9,12,1,1,3,0,0,2,3,2,0.32963818465844386,0.3569566018995083,0.19348659336856688,4,2,5,,Medium
19,6,14,2,0,2,2,1,3,3,2,0.351569579426477,0.14110326735637438,0.1730430494545045,8,5,12,,Medium
63,46,45,6,2,7,2,2,3,3,3,0.8621502977291229,0.6046065899772881,0.4258884718766096,10,12,25,,High
3,0,2,0,0,0,0,0,0,0,0,0.06544258119909838,0.03976145795532683,0.038091038508907424,1,2,1,,Low
3,0,0,0,0,1,0,0,0,0,0,0.1128443993126045,0.030159665042246864,0.0334400287208035,0,1,1,,Low
58,48,50,6,1,10,3,2,3,2,2,0.8131387769668652,0.6560097939438139,0.5345865080013269,13,9,21,,High
11,15,10,3,1,2,0,1,2,2,2,0.34461811508119405,0.327508011958636,0.20486289926250062,8,6,10,,Medium
4,1,0,0,0,1,0,0,0,0,0,0.11794943782094305,0.022246029090764292,0.07765807915025606,2,0,0,,Low
5,1,2,0,0,1,0,0,0,0,0,0.10335480168113778,0.03073357728832355,0.02713708335865117,2,0,0,,Low
18,14,8,3,0,2,1,1,2,2,2,0.4687668703350415,0.26950338537555857,0.22872627604099305,6,4,13,,Medium
12,12,11,1,0,2,0,0,2,3,0,0.3218323357891115,0.14418247020117558,0.09602350297213602,4,5,12,,Medium
5,2,1,0,0,1,0,0,0,0,0,0.07553018517188302,0.016705995531923586,0.04841510803427658,0,1,2,,Low
13,7,10,1,0,5,0,1,1,1,2,0.3541628621286925,0.37865772985702173,0.2334455523241067,6,2,7,,Medium
39,23,53,6,2,6,1,2,5,4,1,0.6641904202876114,0.5077927131206824,0.5058104698666961,10,7,16,,High
13,12,14,1,1,3,2,0,2,4,2,0.5042942761058583,0.2565222063762825,0.1131917231864995,5,2,7,,Medium
5,1,0,0,0,1,0,0,0,0,0,0.11083357327045228,0.0030837240700218984,0.051680831845308445,0,2,0,,Low
65,24,53,4,1,6,1,2,3,4,2,0.6809127150472698,0.5328013212066915,0.545232864399641,18,6,12,,High
66,35,23,4,2,9,3,1,4,5,2,0.553699917222231,0.3026787380655816,0.48207130792735853,12,10,22,,High
22,11,19,1,0,2,0,0,3,3,0,0.2968682910507308,0.34039464251122675,0.16310886293484878,5,3,11,,Medium
14,13,9,3,1,3,2,1,1,2,1,0.41932092914906816,0.33708013753125216,0.10751800173730547,5,6,6,,Medium
1,1,1,0,0,1,0,0,0,0,0,0.05054368344213397,0.00943166525630766,0.052425469917578404,0,2,0,,Low
21,12,9,3,1,2,0,1,1,3,1,0.3629035492786711,0.1731838528188105,0.1837816034174259,7,4,12,,Medium
3,2,1,0,0,0,0,0,0,0,0,0.05183999621186167,0.02739943746206971,0.05283121139440043,1,0,3,,Low
10,11,10,3,1,3,1,0,2,3,1,0.2901961478807351,0.27990725672729355,0.10074391499753235,8,5,9,,Medium
24,5,10,1,1,3,2,1,2,2,0,0.3447285479664438,0.35140181706828033,0.10252935047552525,5,2,10,,Medium
1,0,1,0,0,0,0,0,0,0,0,0.11313955205503062,0.02751119709144961,0.04181933919551896,1,2,2,,Low
2,2,0,0,0,1,0,0,0,0,0,0.1372609986212094,0.022131459681176448,0.07179269812636636,2,0,0,,Low
5,1,1,0,0,0,0,0,0,0,0,0.045974602506971725,0.0298469009809765,0.07495552726809714,0,1,0,,Low
17,15,9,3,0,3,1,0,2,2,0,0.4251990540387288,0.32277888640284225,0.19761037134795112,5,6,8,,Medium
51,48,47,4,3,8,2,2,3,5,2,0.6150063311992618,0.5077547502708752,0.363852341848275,14,9,12,,High
41,50,28,6,1,6,2,2,4,2,2,0.6480193385429083,0.8681516627672246,0.24750316326924532,8,10,25,,High
41,20,30,6,2,6,1,2,3,4,4,0.8762028745456606,0.7882272852893077,0.408138612991771,18,6,14,,High
41,22,50,3,1,8,2,2,5,2,4,0.8188263733038371,0.6732459387034981,0.304054451797037,18,9,16,,High
5,2,1,0,0,1,0,0,0,0,0,0.13852927481736826,0.03962030885601573,0.07456083401029079,2,2,2,,Low
1,0,1,0,0,0,0,0,0,0,0,0.07727807073478296,0.04032555955049979,0.06843741000771188,2,1,3,,Low
1,2,3,0,0,1,0,0,0,0,0,0.07609529799420463,0.02054288119741983,0.0684648696599758,1,0,2,,Low
25,5,11,2,1,2,2,1,2,4,1,0.43874614130087436,0.18562354337994103,0.20491846899011615,7,4,11,,Medium
66,27,35,5,3,7,2,1,5,5,3,0.599924690648286,0.5075675501382753,0.5096908187667177,11,11,18,,High
17,6,10,1,1,5,0,0,2,4,0,0.31435416746357897,0.1344239767449152,0.0963067999337326,3,2,11,,Medium
2,0,2,0,0,0,0,0,0,0,0,0.13979172938068968,0.04019275576799237,0.051663469496012145,1,0,3,,Low
30,47,32,4,1,9,3,1,3,4,1,0.6703223432000885,0.5561770841278892,0.3515089979512266,19,7,16,,High
11,7,17,1,1,4,2,0,3,1,2,0.4818324724301794,0.1275714353135617,0.21851032284663463,3,6,9,,Medium
33,49,60,4,1,6,1,2,5,6,4,0.5506224805787611,0.40712605641033917,0.48260615913040356,11,12,16,,High
39,25,60,6,1,6,3,2,5,5,1,0.788438531332432,0.5889513867514888,0.3225532265244059,16,12,23,,High
19,11,13,1,0,2,2,0,2,3,1,0.3856595108768399,0.10822098690146426,0.24007863052887524,6,5,11,,Medium
10,5,11,3,1,5,2,1,1,2,2,0.5493023179447878,0.21833502567336027,0.17340209558785716,5,6,5,,Medium
16,13,18,1,1,3,0,0,3,1,1,0.5454319125150744,0.17256646554830218,0.22393859207320815,3,4,5,,Medium
30,42,58,5,2,6,3,2,5,3,3,0.6363050473065229,0.4893684753809403,0.43109229193735576,11,12,15,,High
44,42,44,3,1,6,1,1,4,3,3,0.6695031850113843,0.8476900381402552,0.30744363200371955,17,6,24,,High
13,9,20,3,1,5,0,1,2,2,1,0.42801322888393245,0.12411073761953027,0.18346668120790222,3,4,11,,Medium
1,0,0,0,0,1,0,0,0,0,0,0.06411073570229925,0.04163931688472273,0.027814755865114497,0,0,0,,Low
4,0,3,0,0,0,0,0,0,0,0,0.08760836361248601,0.011117681877853303,0.0782320628444253,1,0,0,,Low
5,2,1,0,0,1,0,0,0,0,0,0.05637832963057967,0.04051781517154631,0.040269070718520934,1,2,0,,Low
22,9,14,2,1,3,0,1,2,3,1,0.2630043442318916,0.25248216397288187,0.20439061627706687,7,6,12,,Medium
4,0,0,0,0,0,0,0,0,0,0,0.03643373989727169,0.03357379221566576,0.06255360739162429,0,2,2,,Low
4,1,1,0,0,0,0,0,0,0,0,0.10626074979986595,0.006856634076770635,0.02458508552786038,0,2,3,,Low
4,2,1,0,0,0,0,0,0,0,0,0.10736959038971657,0.020416541467960847,0.06870262164705238,0,1,0,,Low
16,15,18,1,1,4,2,0,1,1,2,0.39698175826611093,0.22161000958956056,0.09723818112673932,6,2,10,,Medium
3,1,3,0,0,0,0,0,0,0,0,0.1278228377965948,0.04774043854999345,0.06397634433829096,0,0,0,,Low
58,33,30,6,2,8,1,1,3,6,2,0.8736041229391405,0.4885665561697463,0.5727185981286165,20,9,14,,High
10,15,17,1,0,4,0,0,3,2,1,0.4238827894952382,0.3779547879744134,0.22116351428487135,5,2,5,,Medium
53,29,48,6,3,9,1,2,3,5,1,0.6098347989476666,0.5016461984462073,0.3433965162606414,16,11,25,,High
2,2,0,0,0,1,0,0,0,0,0,0.1270360746750827,0.0481161233984258,0.011717492582167888,2,2,2,,Low
13,12,13,3,1,2,0,0,1,2,0,0.4876139899079379,0.20965395766590098,0.14274001899902078,7,4,12,,Medium
45,38,43,6,2,9,1,2,3,5,4,0.6250468900261285,0.6291849715659634,0.5403063074700993,14,10,13,,High
49,37,41,4,3,10,2,1,4,5,4,0.5833962413600762,0.7490165426107409,0.41980252466707846,14,10,21,,High
24,13,9,2,1,3,1,1,2,1,1,0.4280660811241821,0.2952306588940471,0.19935638492221416,8,6,9,,Medium
58,35,22,4,3,10,3,2,4,2,2,0.5299921665244228,0.8339855477850604,0.2601374085112554,12,11,19,,High
12,9,12,3,1,4,2,0,2,2,2,0.49165375762320673,0.2972124345844759,0.11786503663105281,6,5,6,,Medium
1,0,2,0,0,0,0,0,0,0,0,0.1430989606159216,0.01698555188462856,0.0395045764948406,2,2,0,,Low
61,49,59,6,2,9,1,2,4,3,4,0.6455211417755987,0.7994890273537695,0.3758603600436534,19,12,17,,High
19,5,9,3,0,2,2,0,1,4,0,0.34313818527812123,0.20872420275563902,0.1284718156611419,3,4,6,,Medium
50,33,55,5,3,5,2,1,5,4,4,0.8421763409021483,0.37991245350301434,0.5780498038737576,14,7,17,,High
40,37,20,3,3,7,2,2,4,5,3,0.5297030809192109,0.4050669829017329,0.334224386029632,20,7,12,,High
5,1,2,0,0,0,0,0,0,0,0,0.09398698022213534,0.022532602975976875,0.06987637412306565,2,1,1,,Low
4,1,0,0,0,0,0,0,0,0,0,0.061401909926162596,0.004523952916393415,0.03341592634612585,2,1,1,,Low
4,2,1,0,0,1,0,0,0,0,0,0.05300351576929455,0.004352615959145795,0.03898806386870292,2,1,0,,Low
61,27,25,3,2,6,3,2,4,4,2,0.7994560593776232,0.5679441916688968,0.5591815707673632,14,12,25,,High
3,1,1,0,0,1,0,0,0,0,0,0.053635215332599274,0.04519787277093211,0.07833398370660569,0,2,3,,Low
46,42,34,5,1,5,2,2,5,6,1,0.6805460089032733,0.4061133231116711,0.5340123798436105,18,6,23,,High
